id,number,title,user,state,created_at,closed_at,comments,open_duration_days
3500376979,270635,Ghhjj>,khanimehdi117-rgb,closed,2025-10-09T19:28:06+00:00,2025-10-09T19:29:52+00:00,1,0.0
3500357288,270634,пидорас,gelb1245,closed,2025-10-09T19:20:09+00:00,2025-10-09T19:21:22+00:00,2,0.0
3500355291,270633,GA 3,Mohammed-Osman-Sirajuddin884,closed,2025-10-09T19:19:16+00:00,2025-10-09T19:19:30+00:00,1,0.0
3500349201,270632,keeps freezing,randers05,open,2025-10-09T19:17:02+00:00,,2,
3500339763,270631,Nothing works,JGBotts,closed,2025-10-09T19:13:59+00:00,2025-10-09T19:58:05+00:00,3,0.0
3500331984,270630,Instabilidade,victorbht,open,2025-10-09T19:11:24+00:00,,1,
3500328081,270629,My request failed with a 400 status code,TheNatas,closed,2025-10-09T19:10:11+00:00,2025-10-09T19:11:55+00:00,2,0.0
3500323477,270628,"Add ""apply changes"" button to Chats when worktree is used",pierceboggan,open,2025-10-09T19:08:37+00:00,,0,
3500316710,270627,Git worktrees integration in Chat,pierceboggan,open,2025-10-09T19:05:59+00:00,,1,
3500311332,270626,Errores continuos,davidmorocrespo,open,2025-10-09T19:03:50+00:00,,3,
3500287035,270624,Nested AGENTS.md,douglasataya,open,2025-10-09T18:54:12+00:00,,0,
3500279181,270623,Use embeddings to improve virtual tool grouping,connor4312,open,2025-10-09T18:50:56+00:00,,0,
3500245908,270619,"Clicking OS notification always opens secondary side bar, even if I'm working with Chat in editor",pierceboggan,open,2025-10-09T18:37:11+00:00,,6,
3500232561,270618,Make approval for read tools happen after rather than before the tool call,connor4312,open,2025-10-09T18:32:55+00:00,,1,
3500215693,270617,VS Code looks for local paths during remote sessions,fonnesbeck,open,2025-10-09T18:28:17+00:00,,0,
3500111954,270614,What the heck was that?,johnmccrae,open,2025-10-09T17:54:49+00:00,,2,
3500093047,270613,repeatedly rate limited,cyndiebubis-dell,closed,2025-10-09T17:49:08+00:00,2025-10-09T17:51:01+00:00,1,0.0
3500083171,270612,VS Code Bug Report: chat.tools.terminal.autoApprove Semicolon Parsing Issue,davidnmbond,open,2025-10-09T17:45:03+00:00,,0,
